node_id	parent_id	label	branch_length
root		root	1
adh_root	root	adh_root	1
adh_mel_sim	adh_root	adh_mel_sim	1
Dmel_Adh	adh_mel_sim	Drosophila_melanogaster:Dmel_Adh	1
Dsim_Adh	adh_mel_sim	Drosophila_simulans:Dsim_Adh	1
adh_yak_tei_ere	adh_root	adh_yak_tei_ere	1
Dere_Adh	adh_yak_tei_ere	Drosophila_erecta:Dere_Adh	1
adh_yak_tei	adh_yak_tei_ere	adh_yak_tei	1
Dtei_Adh	adh_yak_tei	Drosophila_teissieri:Dtei_Adh	1
adh_yak_dup	adh_yak_tei	adh_yak_dup	1
Dyak_Adh_like	adh_yak_dup	Drosophila_yakuba:Dyak_Adh_like	1
Dyak_jgw	adh_yak_dup	Drosophila_yakuba:Dyak_jgw	1
ymp_root	root	ymp_root	1
ymp_mel_sim	ymp_root	ymp_mel_sim	1
Dmel_ymp	ymp_mel_sim	Drosophila_melanogaster:Dmel_ymp	1
Dsim_ymp	ymp_mel_sim	Drosophila_simulans:Dsim_ymp	1
ymp_yak_tei_ere	ymp_root	ymp_yak_tei_ere	1
Dere_ymp	ymp_yak_tei_ere	Drosophila_erecta:Dere_ymp	1
ymp_yak_tei	ymp_yak_tei_ere	ymp_yak_tei	1
Dyak_ymp	ymp_yak_tei	Drosophila_yakuba:Dyak_ymp	1
Dtei_ymp	ymp_yak_tei	Drosophila_teissieri:Dtei_ymp	1
